scenario,objective,overflow,n_active,converged
1,7545.017736244854,809.5572900655568,78,False
2,44352.50199867565,1359.7160783561444,82,False
3,24039.515662557067,1182.3814460528909,80,False
4,32983.51252618952,1259.0801514012123,81,False
5,10167.223747991957,843.4507801503357,80,False
6,10471.719172577657,763.8178836042281,81,False
7,15647.825579221257,953.5295244998933,79,False
8,27180.177427805324,1227.6590307111069,82,False
9,6661.707457051068,735.9964721487306,82,False
10,29139.68627814763,1144.6137194607518,82,False
